Date,item,open,high,low,close,adj_close,volume
2015-10-29,DB하이텍,"12,950","13,150","12,700","12,800","11,498","208,424"
2015-10-30,DB하이텍,"13,000","13,000","11,750","12,150","10,914","678,361"
2015-11-02,DB하이텍,"12,050","12,350","11,700","11,750","10,555","366,013"
2015-11-03,DB하이텍,"11,800","12,550","11,800","12,550","11,274","462,040"
2015-11-04,DB하이텍,"12,500","12,500","12,100","12,150","10,914","228,509"
2015-11-05,DB하이텍,"12,200","12,200","11,600","12,000","10,780","348,235"
2015-11-06,DB하이텍,"11,700","11,950","10,550","11,350","10,196","1,372,330"
2015-11-09,DB하이텍,"11,200","11,250","10,100","10,200","9,163","1,528,576"
2015-11-10,DB하이텍,"10,150","10,500","9,780","9,930","8,920","1,151,306"
2015-11-11,DB하이텍,"9,850","10,800","9,850","10,750","9,657","1,113,798"
2015-11-12,DB하이텍,"10,750","11,500","10,600","11,400","10,241","881,235"
2015-11-13,DB하이텍,"12,050","12,250","11,050","11,350","10,196","1,748,272"
2015-11-16,DB하이텍,"11,050","11,650","11,050","11,500","10,330","629,092"
2015-11-17,DB하이텍,"11,800","11,800","11,250","11,450","10,285","498,507"
2015-11-18,DB하이텍,"11,500","11,550","10,800","10,950","9,836","568,682"
2015-11-19,DB하이텍,"11,200","11,900","11,200","11,900","10,690","841,450"
2015-11-20,DB하이텍,"11,900","12,150","11,450","11,600","10,420","407,878"
2015-11-23,DB하이텍,"11,700","11,700","11,000","11,100","9,971","401,423"
2015-11-24,DB하이텍,"11,100","11,350","10,950","11,100","9,971","346,648"
2015-11-25,DB하이텍,"11,100","11,750","10,900","11,750","10,555","858,504"
2015-11-26,DB하이텍,"11,750","12,450","11,550","12,200","10,959","791,500"
2015-11-27,DB하이텍,"12,200","12,300","11,900","12,100","10,869","305,162"
2015-11-30,DB하이텍,"12,150","12,150","11,750","12,100","10,869","309,153"
2015-12-01,DB하이텍,"12,100","13,050","12,100","13,000","11,678","1,418,881"
2015-12-02,DB하이텍,"13,000","13,700","12,850","13,100","11,768","988,923"
2015-12-03,DB하이텍,"13,000","13,450","13,000","13,150","11,813","493,008"
2015-12-04,DB하이텍,"13,150","13,950","12,850","13,750","12,352","740,395"
2015-12-07,DB하이텍,"14,100","14,250","13,700","13,800","12,396","560,892"
2015-12-08,DB하이텍,"13,900","13,950","13,500","13,750","12,352","335,281"
2015-12-09,DB하이텍,"13,700","13,800","13,350","13,550","12,172","261,841"
2015-12-10,DB하이텍,"13,600","13,800","13,300","13,500","12,127","262,484"
2015-12-11,DB하이텍,"13,550","13,800","13,050","13,400","12,037","413,592"
2015-12-14,DB하이텍,"13,000","13,150","12,700","13,000","11,678","386,011"
