Date,item,open,high,low,close,adj_close,volume
2016-02-16,삼성 전자,"23,160","23,580","23,140","23,360","19,069","9,020,050"
2016-02-17,삼성 전자,"23,580","24,020","23,380","23,700","19,347","12,303,100"
2016-02-18,삼성 전자,"24,060","24,060","23,560","23,740","19,380","11,124,050"
2016-02-19,삼성 전자,"23,740","23,900","23,480","23,800","19,429","8,842,600"
2016-02-22,삼성 전자,"23,800","23,840","23,320","23,500","19,184","8,744,950"
2016-02-23,삼성 전자,"23,580","23,780","23,460","23,620","19,282","7,383,700"
2016-02-24,삼성 전자,"23,560","23,580","23,220","23,440","19,135","7,024,200"
2016-02-25,삼성 전자,"23,440","23,740","23,440","23,580","19,249","6,681,750"
2016-02-26,삼성 전자,"23,600","23,740","23,440","23,440","19,135","8,867,200"
2016-02-29,삼성 전자,"23,580","23,880","23,520","23,560","19,233","14,434,000"
2016-03-02,삼성 전자,"24,000","24,140","23,920","23,940","19,543","11,818,600"
2016-03-03,삼성 전자,"24,260","24,400","24,040","24,400","19,918","10,949,550"
2016-03-04,삼성 전자,"24,400","24,560","24,040","24,300","19,837","10,074,500"
2016-03-07,삼성 전자,"24,400","24,620","24,300","24,460","19,967","6,568,800"
2016-03-08,삼성 전자,"24,460","24,480","23,720","23,840","19,461","10,810,100"
2016-03-09,삼성 전자,"23,760","23,980","23,540","23,880","19,494","9,169,000"
2016-03-10,삼성 전자,"24,160","24,720","24,020","24,500","20,000","14,177,000"
2016-03-11,삼성 전자,"24,500","25,060","24,320","24,980","20,392","13,361,250"
2016-03-14,삼성 전자,"25,340","25,460","24,980","25,100","20,490","10,857,700"
2016-03-15,삼성 전자,"25,100","25,280","24,920","25,060","20,457","8,640,400"
2016-03-16,삼성 전자,"25,120","25,260","25,060","25,120","20,506","7,342,800"
2016-03-17,삼성 전자,"25,300","25,920","25,140","25,260","20,620","12,343,450"
2016-03-18,삼성 전자,"25,560","25,560","25,260","25,460","20,784","11,265,700"
2016-03-21,삼성 전자,"25,480","25,580","25,160","25,340","20,686","9,058,500"
2016-03-22,삼성 전자,"25,340","25,580","25,240","25,380","20,718","10,143,600"
2016-03-23,삼성 전자,"25,380","25,580","25,240","25,580","20,882","9,870,900"
2016-03-24,삼성 전자,"25,580","25,800","25,320","25,640","20,931","10,939,750"
2016-03-25,삼성 전자,"25,660","25,800","25,560","25,760","21,029","7,172,300"
2016-03-28,삼성 전자,"25,760","26,000","25,760","25,880","21,127","6,060,900"
2016-03-29,삼성 전자,"25,880","26,000","25,700","25,800","21,061","8,622,700"
2016-03-30,삼성 전자,"26,200","26,420","26,040","26,160","21,355","13,380,250"
2016-03-31,삼성 전자,"26,120","26,280","25,960","26,240","21,420","19,130,750"
2016-04-01,삼성 전자,"25,980","26,180","25,420","25,580","20,882","13,557,800"
2016-04-04,삼성 전자,"25,580","26,100","25,580","26,100","21,306","9,402,300"
2016-04-05,삼성 전자,"25,980","25,980","25,200","25,200","20,571","11,815,950"
2016-04-06,삼성 전자,"25,380","25,820","25,360","25,700","20,980","9,211,700"
2016-04-07,삼성 전자,"26,000","26,000","25,160","25,380","20,718","12,939,750"
2016-04-08,삼성 전자,"25,380","25,380","24,800","24,920","20,343","12,593,400"
2016-04-11,삼성 전자,"24,920","25,420","24,920","25,320","20,669","6,034,650"
2016-04-12,삼성 전자,"25,400","25,620","25,320","25,500","20,816","6,702,700"
2016-04-14,삼성 전자,"26,000","26,040","25,780","26,000","21,225","16,766,350"
2016-04-15,삼성 전자,"26,180","26,200","25,800","26,000","21,225","6,829,950"
2016-04-18,삼성 전자,"25,900","26,100","25,840","25,980","21,208","6,423,700"
2016-04-19,삼성 전자,"25,880","25,920","25,660","25,760","21,029","7,238,300"
2016-04-20,삼성 전자,"25,640","26,000","25,640","25,980","21,208","8,598,600"
2016-04-21,삼성 전자,"26,000","26,020","25,760","25,880","21,127","7,254,450"
2016-04-22,삼성 전자,"25,880","25,880","25,540","25,600","20,898","5,741,500"
2016-04-25,삼성 전자,"25,700","25,700","25,420","25,620","20,914","4,597,850"
2016-04-26,삼성 전자,"25,700","26,100","25,660","25,920","21,159","8,345,050"
2016-04-27,삼성 전자,"25,880","26,000","25,720","26,000","21,225","8,297,300"
2016-04-28,삼성 전자,"26,000","26,000","25,220","25,300","20,653","14,653,450"
2016-04-29,삼성 전자,"25,200","25,340","24,840","24,900","20,327","16,253,900"
2016-05-02,삼성 전자,"24,940","25,240","24,900","25,000","20,408","7,027,600"
2016-05-03,삼성 전자,"25,340","25,400","25,120","25,220","20,588","7,903,300"
2016-05-04,삼성 전자,"25,440","25,800","25,240","25,800","21,061","14,702,750"
2016-05-09,삼성 전자,"25,800","26,000","25,700","25,980","21,208","13,718,100"
2016-05-10,삼성 전자,"25,980","26,000","25,760","25,920","21,159","8,559,550"
2016-05-11,삼성 전자,"25,920","25,980","25,740","25,840","21,094","8,834,400"
2016-05-12,삼성 전자,"25,840","25,840","25,500","25,620","20,914","7,615,100"
2016-05-13,삼성 전자,"25,620","25,620","25,020","25,060","20,457","12,284,900"
2016-05-16,삼성 전자,"25,060","25,260","24,940","24,960","20,376","11,720,150"
2016-05-17,삼성 전자,"24,980","25,300","24,980","25,280","20,637","9,183,550"
2016-05-18,삼성 전자,"25,280","25,420","25,100","25,360","20,702","9,169,600"
2016-05-19,삼성 전자,"25,360","25,540","25,320","25,400","20,735","10,012,450"
2016-05-20,삼성 전자,"25,400","25,600","25,380","25,380","20,718","7,960,550"
2016-05-23,삼성 전자,"25,380","25,720","25,380","25,720","20,996","8,112,550"
2016-05-24,삼성 전자,"25,720","25,780","25,360","25,420","20,751","10,434,600"
2016-05-25,삼성 전자,"25,660","25,960","25,480","25,900","21,143","11,862,750"
2016-05-26,삼성 전자,"25,980","26,060","25,900","25,920","21,159","12,653,650"
2016-05-27,삼성 전자,"26,000","26,020","25,460","25,640","20,931","13,744,550"
